"CHEMICAL_ID_NUMBER","STRIPPED_CHEMICAL_ID_NUMBER","Nat_Agg_PV","Nat_Agg_PPV_2014","Nat_Agg_PPV_2013","Nat_Agg_PPV_2012"
"279880","279880","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs","1,000,000 - <20,000,000 lbs"
"28015-99-8","28015998","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28016-00-4","28016004","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"280-57-9","280579","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"28061-69-0","28061690","<1,000,000 lbs","<1,000,000 lbs","25,000 - <100,000 lbs","<1,000,000 lbs"
"28064-14-4","28064144","                   579,292 lbs","       301,227 lbs","       453,015 lbs","       448,628 lbs"
"28065-97-6","28065976","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28069-72-9","28069729","                         0 lbs","             0 lbs","             0 lbs","             0 lbs"
"2807-30-9","2807309","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"2809-21-4","2809214","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"28098-03-5","28098035","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","100,000 - <500,000 lbs"
"28106-30-1","28106301","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"2814-77-9","2814779","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28182-81-2","28182812","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"28188-24-1","28188241","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"28214-91-7","28214917","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28219-61-6","28219616","500,000 - <1,000,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"28321","28321","                   524,953 lbs","         5,997 lbs","       429,149 lbs","       456,015 lbs"
"28324-52-9","28324529","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs"
"28348-53-0","28348530","                 9,239,546 lbs","    11,568,842 lbs","    11,543,133 lbs","    11,649,532 lbs"
"2835-68-9","2835689","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"2836-32-0","2836320","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"2837-89-0","2837890","50,000,000 - <100,000,000 lbs","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs"
"28407-37-6","28407376","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"2842-44-6","2842446","                    60,340 lbs","        60,280 lbs","             0 lbs","       120,640 lbs"
"28472-97-1","28472971","25,000 - <100,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"28473-19-0","28473190","<1,000,000 lbs","25,000 - <100,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"28473-21-4","28473214","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"28510-23-8","28510238","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"2855-13-2","2855132","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"2855-19-8","2855198","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28553-12-0","28553120","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs"
"28629-66-5","28629665","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"28645-51-4","28645514","                         0 lbs","             0 lbs","             0 lbs","             0 lbs"
"2867-47-2","2867472","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"286-99-7","286997","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28701-67-9","28701679","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"28706-25-4","28706254","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28706-33-4","28706334","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"2873-97-4","2873974","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs"
"28757-00-8","28757008","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28768-32-3","28768323","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"28770-01-6","28770016","<1,000,000 lbs","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs"
"28777-98-2","28777982","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs"
"28785-06-0","28785060","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"287-92-3","287923","500,000,000 - <750,000,000 lbs","250,000,000 - <500,000,000 lbs","250,000,000 - <500,000,000 lbs","100,000,000 - <250,000,000 lbs"
"28805-58-5","28805585","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"288-13-1","288131","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"288-32-4","288324","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"288-88-0","288880","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"28901-77-1","28901771","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28901-96-4","28901964","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28908-00-1","28908001","                 2,417,050 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28928-97-4","28928974","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"28931-67-1","28931671","                   998,308 lbs","     1,022,467 lbs","     2,118,310 lbs","       982,248 lbs"
"2893-78-9","2893789","                 1,268,115 lbs","       189,367 lbs","     1,154,014 lbs","     3,110,702 lbs"
"28940-11-6","28940116","                         0 lbs","             0 lbs","             0 lbs","             0 lbs"
"28947-77-5","28947775","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"2897-60-1","2897601","                    71,840 lbs","        67,034 lbs","       218,099 lbs","       508,042 lbs"
"28984-69-2","28984692","                   163,395 lbs","       167,385 lbs","       166,395 lbs","       165,120 lbs"
"28987-17-9","28987179","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"29036-02-0","29036020","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"29118-24-9","29118249","                 2,158,000 lbs","     2,700,192 lbs","     1,503,580 lbs","     1,317,236 lbs"
"29126-51-0","29126510","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"2915-52-8","2915528","                    87,385 lbs","        58,924 lbs","        71,928 lbs","        92,583 lbs"
"2915-53-9","2915539","                   733,260 lbs","       554,330 lbs","       526,900 lbs","       568,432 lbs"
"29225-91-0","29225910","                   142,150 lbs","       119,500 lbs","       148,600 lbs","       213,900 lbs"
"29240-17-3","29240173","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","25,000 - <100,000 lbs"
"292849-36-6","292849366","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"2929-95-5","2929955","                    44,915 lbs","        40,269 lbs","        28,433 lbs","        26,664 lbs"
"29317-52-0","29317520","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"29329-71-3","29329713","                 1,146,537 lbs","     1,362,350 lbs","     1,240,703 lbs","       823,525 lbs"
"29340-81-6","29340816","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
