CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV
"1,3-Pentadiene",504-60-9,504609,CASRN,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb"
"1,3-Propanediol",504-63-2,504632,CASRN,"100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb"
"1,3,4-Thiadiazolidine-2,5-dithione, sodium salt (1:1)",50530-45-5,50530455,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Octanedioic acid,505-48-6,505486,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Tridecanedioic acid,505-52-2,505522,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Heptadecanoic acid,506-12-7,506127,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
Eicosanoic acid,506-30-9,506309,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
9-Eicosenoic acid,506-31-0,506310,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Glycine, N,N-bis(carboxymethyl)-, sodium salt (1:3)",5064-31-3,5064313,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"Argentate(1-), bis(cyano-.kappa.C)-, potassium (1:1)",506-61-6,506616,CASRN,"28,085","26,593","21,502","14,926"
Gold cyanide (Au(CN)),506-65-0,506650,CASRN,"145,715","139,809","145,226","159,878"
"Carbonic acid, ammonium salt (1:2)",506-87-6,506876,CASRN,"100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb"
"Urea, hydrochloride (1:1)",506-89-8,506898,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Guanidine, nitrate (1:1)",506-93-4,506934,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
D-Glucitol,50-70-4,50704,CASRN,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb"
Ethanethioic acid,507-09-5,507095,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Propane, 2-chloro-2-methyl-",507-20-0,507200,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Octane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-8-iodo-",507-63-1,507631,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1R,2S,4R)-rel-",507-70-0,507700,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"2-Butanone, 1-hydroxy-",5077-67-8,5077678,CASRN,"17,301","63,466","18,776",0
"2-Propanamine, N-hydroxy-",5080-22-8,5080228,CASRN,"1,499,300","1,898,792","1,495,554","1,074,737"
L-Ascorbic acid,50-81-7,50817,CASRN,"570,387","1,170,267","900,936","689,182"
"Benzaldehyde, 2-hydroxy-5-nonyl-, oxime",50849-47-3,50849473,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Silane, (3-chloropropyl)triethoxy-",5089-70-3,5089703,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","10,000,000 - <50,000,000 lb"
"Chromium chloride, basic",50925-66-1,50925661,CASRN,"635,377","641,932","693,205","626,331"
"Butanedioic acid, 1-[2-[(1-oxo-2-propen-1-yl)oxy]ethyl] ester",50940-49-3,50940493,CASRN,"100,000 - <500,000 lb","<1,000,000 lb","100,000 - <500,000 lb","<1,000,000 lb"
"2-Butenedioic acid (2Z)-, lithium salt (1:2)",50977-65-6,50977656,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Sulfamic acid, compd. with guanidine (1:1)",50979-18-5,50979185,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
